Order ID,Order Date,Ship Date,Customer Name,Region,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit
ORD-1036,2022-01-02 12:00:00,2022-01-03 12:00:00,Frank,East,Technology,Tables,Printer,564.29,3,0.3,437.92
ORD-1037,2022-01-02 13:00:00,2022-01-03 13:00:00,Charlie,West,Technology,Binders,Desk,698.68,8,,202.73
ORD-1038,2022-01-02 14:00:00,2022-01-03 14:00:00,David,Central,Office Supplies,Binders,Monitor,127.22,6,,291.65
ORD-1039,2022-01-02 15:00:00,2022-01-03 15:00:00,David,West,Technology,Chairs,Desk,258.15,6,0.1,397.81
ORD-1040,2022-01-02 16:00:00,2022-01-03 16:00:00,Alice,South,Office Supplies,Chairs,Paper,148.34,9,0.1,470.99
ORD-1041,2022-01-02 17:00:00,2022-01-03 17:00:00,Charlie,West,Technology,Accessories,Pen,396.27,8,0.0,142.92
ORD-1042,2022-01-02 18:00:00,2022-01-03 18:00:00,Eva,East,Furniture,Storage,Monitor,291.29,2,0.2,193.1
ORD-1043,2022-01-02 19:00:00,2022-01-03 19:00:00,Charlie,South,Furniture,Accessories,Printer,735.59,6,0.1,90.95
ORD-1044,2022-01-02 20:00:00,2022-01-03 20:00:00,Eva,East,Technology,Tables,Printer,117.62,1,0.2,-149.61
ORD-1045,2022-01-02 21:00:00,2022-01-03 21:00:00,Alice,Central,Technology,Chairs,Printer,754.54,9,,95.96
ORD-1046,2022-01-02 22:00:00,2022-01-03 22:00:00,Bob,East,Furniture,Chairs,Pen,55.25,4,0.0,353.44
ORD-1047,2022-01-02 23:00:00,2022-01-03 23:00:00,,East,Technology,Accessories,Stapler,210.0,4,0.2,363.42
ORD-1048,2022-01-03 00:00:00,2022-01-04 00:00:00,Alice,,Office Supplies,Accessories,Monitor,794.05,9,0.1,424.66
ORD-1049,2022-01-03 01:00:00,2022-01-04 01:00:00,David,East,Office Supplies,Accessories,Pen,745.35,3,,-163.97
ORD-1050,2022-01-03 02:00:00,2022-01-04 02:00:00,Frank,South,Office Supplies,Binders,Monitor,481.56,5,0.3,169.01
ORD-1051,2022-01-03 03:00:00,2022-01-04 03:00:00,Bob,South,Office Supplies,Phones,Pen,59.48,1,,-124.8
ORD-1052,2022-01-03 04:00:00,2022-01-04 04:00:00,Bob,Central,Office Supplies,Phones,Pen,613.79,6,0.1,-59.48
ORD-1053,2022-01-03 05:00:00,2022-01-04 05:00:00,Alice,South,Technology,Chairs,Stapler,412.66,3,0.1,430.15
ORD-1054,2022-01-03 06:00:00,2022-01-04 06:00:00,Bob,West,Technology,Binders,Monitor,323.36,1,0.3,147.75
ORD-1055,2022-01-03 07:00:00,2022-01-04 07:00:00,Eva,Central,Office Supplies,Accessories,Pen,644.01,6,,330.98
ORD-1056,2022-01-03 08:00:00,2022-01-04 08:00:00,Bob,South,Technology,Chairs,Stapler,442.25,2,0.2,-154.93
ORD-1057,2022-01-03 09:00:00,2022-01-04 09:00:00,David,West,Technology,,Desk,101.5,8,0.2,91.78
ORD-1058,2022-01-03 10:00:00,2022-01-04 10:00:00,David,South,Office Supplies,Tables,Paper,916.79,2,,271.97
ORD-1059,2022-01-03 11:00:00,2022-01-04 11:00:00,David,South,Technology,Storage,Pen,780.71,4,0.2,-106.62
ORD-1060,2022-01-03 12:00:00,2022-01-04 12:00:00,David,East,Technology,Binders,Printer,65.81,3,,28.07
ORD-1061,2022-01-03 13:00:00,2022-01-04 13:00:00,Eva,South,Technology,Chairs,Stapler,529.81,9,,-154.82
ORD-1062,2022-01-03 14:00:00,2022-01-04 14:00:00,Charlie,South,Office Supplies,Phones,Stapler,92.54,2,0.1,255.94
ORD-1063,2022-01-03 15:00:00,2022-01-04 15:00:00,Frank,West,Technology,Accessories,Pen,838.92,3,0.0,479.62
ORD-1064,2022-01-03 16:00:00,2022-01-04 16:00:00,Alice,West,Furniture,Storage,Stapler,616.88,7,0.1,378.93
ORD-1065,2022-01-03 17:00:00,2022-01-04 17:00:00,David,East,Furniture,Tables,Desk,180.72,4,0.2,482.24
ORD-1066,2022-01-03 18:00:00,2022-01-04 18:00:00,Bob,South,Office Supplies,Storage,Stapler,,6,0.0,391.92
ORD-1067,2022-01-03 19:00:00,2022-01-04 19:00:00,David,East,Furniture,Storage,Paper,41.27,3,,398.64
ORD-1068,2022-01-03 20:00:00,2022-01-04 20:00:00,Bob,South,Office Supplies,Binders,Paper,512.29,1,0.2,204.02
ORD-1069,2022-01-03 21:00:00,2022-01-04 21:00:00,Frank,Central,Furniture,Chairs,Printer,737.03,6,0.3,162.78
ORD-1070,2022-01-03 22:00:00,2022-01-04 22:00:00,Frank,Central,Furniture,Chairs,Desk,129.63,4,0.2,84.38
ORD-1071,2022-01-03 23:00:00,2022-01-04 23:00:00,Frank,East,Furniture,Storage,Paper,229.07,2,0.0,
ORD-1072,2022-01-04 00:00:00,2022-01-05 00:00:00,Bob,East,Office Supplies,Accessories,Pen,333.99,7,0.0,-72.55
ORD-1073,2022-01-04 01:00:00,2022-01-05 01:00:00,David,East,Office Supplies,Chairs,Monitor,225.9,5,,-160.64
ORD-1074,2022-01-04 02:00:00,2022-01-05 02:00:00,Frank,West,Technology,Storage,Monitor,397.42,6,0.3,463.53
ORD-1075,2022-01-04 03:00:00,2022-01-05 03:00:00,Eva,West,Office Supplies,Chairs,Monitor,564.02,6,,-197.36
ORD-1076,2022-01-04 04:00:00,2022-01-05 04:00:00,Bob,West,Furniture,Accessories,Pen,688.09,9,0.3,483.78
ORD-1077,2022-01-04 05:00:00,2022-01-05 05:00:00,Bob,East,Furniture,Tables,Stapler,964.14,2,0.3,
ORD-1078,2022-01-04 06:00:00,2022-01-05 06:00:00,David,South,Office Supplies,Storage,Pen,931.54,6,,29.95
ORD-1079,2022-01-04 07:00:00,2022-01-05 07:00:00,Bob,Central,Office Supplies,Phones,Stapler,,9,0.2,288.47
ORD-1080,2022-01-04 08:00:00,2022-01-05 08:00:00,Bob,East,Office Supplies,Phones,Monitor,736.81,4,0.1,372.51
ORD-1081,2022-01-04 09:00:00,2022-01-05 09:00:00,Frank,West,Technology,Storage,Printer,951.36,6,0.3,-28.25
ORD-1082,2022-01-04 10:00:00,2022-01-05 10:00:00,David,West,Furniture,Binders,Printer,92.64,7,0.0,339.63
ORD-1083,2022-01-04 11:00:00,2022-01-05 11:00:00,Frank,East,Technology,,Stapler,,1,,363.06
ORD-1084,2022-01-04 12:00:00,2022-01-05 12:00:00,Frank,East,Technology,Binders,Monitor,,5,0.2,-25.45
ORD-1085,2022-01-04 13:00:00,2022-01-05 13:00:00,David,West,Furniture,Phones,Pen,567.72,4,0.3,-170.65
ORD-1086,2022-01-04 14:00:00,2022-01-05 14:00:00,Alice,South,Furniture,,Printer,765.21,2,0.2,-57.11
ORD-1087,2022-01-04 15:00:00,2022-01-05 15:00:00,Frank,West,Office Supplies,Storage,Stapler,373.4,2,,-59.55
ORD-1088,2022-01-04 16:00:00,2022-01-05 16:00:00,Eva,West,Office Supplies,Chairs,Pen,549.79,2,0.0,-154.33
ORD-1089,2022-01-04 17:00:00,2022-01-05 17:00:00,Eva,East,Technology,Phones,Monitor,,7,0.3,308.21
ORD-1090,2022-01-04 18:00:00,2022-01-05 18:00:00,Bob,South,Office Supplies,Tables,Desk,103.82,4,0.3,65.98
ORD-1091,2022-01-04 19:00:00,2022-01-05 19:00:00,Eva,West,Office Supplies,Phones,Monitor,328.37,6,0.2,419.07
ORD-1092,2022-01-04 20:00:00,2022-01-05 20:00:00,Bob,West,Furniture,Tables,Monitor,29.24,7,,-23.48
ORD-1093,2022-01-04 21:00:00,2022-01-05 21:00:00,Alice,Central,Furniture,Tables,Pen,119.6,9,0.1,117.26
ORD-1094,2022-01-04 22:00:00,2022-01-05 22:00:00,David,East,Office Supplies,,Pen,813.74,2,0.3,247.31
ORD-1095,2022-01-04 23:00:00,2022-01-05 23:00:00,David,Central,Furniture,Tables,Paper,831.12,9,0.0,414.23
ORD-1096,2022-01-05 00:00:00,2022-01-06 00:00:00,David,Central,Office Supplies,Binders,Paper,803.93,5,0.3,
ORD-1097,2022-01-05 01:00:00,2022-01-06 01:00:00,Eva,West,Furniture,Accessories,Pen,729.55,6,0.3,61.47
ORD-1098,2022-01-05 02:00:00,2022-01-06 02:00:00,Alice,East,Furniture,,Pen,795.38,6,0.1,406.91
ORD-1099,2022-01-05 03:00:00,2022-01-06 03:00:00,Eva,South,Furniture,Accessories,Desk,674.27,3,0.1,17.17
ORD-1100,2022-01-05 04:00:00,2022-01-06 04:00:00,,West,Furniture,Chairs,Desk,673.14,7,,-144.4
ORD-1101,2022-01-05 05:00:00,2022-01-06 05:00:00,Alice,South,Office Supplies,Phones,Monitor,670.69,7,0.3,111.53
ORD-1102,2022-01-05 06:00:00,2022-01-06 06:00:00,Alice,South,Technology,Accessories,Printer,518.9,8,0.3,349.57
ORD-1103,2022-01-05 07:00:00,2022-01-06 07:00:00,Alice,East,Furniture,Accessories,Desk,369.71,5,0.2,
ORD-1104,2022-01-05 08:00:00,2022-01-06 08:00:00,Alice,,Office Supplies,Storage,Monitor,732.89,2,0.2,210.12
ORD-1105,2022-01-05 09:00:00,2022-01-06 09:00:00,David,East,Office Supplies,,Stapler,305.66,3,0.0,216.12
ORD-1106,2022-01-05 10:00:00,2022-01-06 10:00:00,Charlie,South,Furniture,Chairs,Paper,547.47,9,0.0,449.98
ORD-1107,2022-01-05 11:00:00,2022-01-06 11:00:00,Charlie,West,Technology,Tables,Printer,439.02,6,0.2,0.53
ORD-1108,2022-01-05 12:00:00,2022-01-06 12:00:00,Alice,South,Furniture,Phones,Monitor,283.86,8,0.0,
ORD-1109,2022-01-05 13:00:00,2022-01-06 13:00:00,Charlie,West,Office Supplies,Storage,Pen,974.94,8,0.3,108.34
ORD-1110,2022-01-05 14:00:00,2022-01-06 14:00:00,Charlie,West,Technology,,Stapler,266.16,5,0.1,49.84
ORD-1111,2022-01-05 15:00:00,2022-01-06 15:00:00,Alice,East,Office Supplies,Chairs,Paper,316.2,1,0.3,315.44
ORD-1112,2022-01-05 16:00:00,2022-01-06 16:00:00,Charlie,South,Furniture,Storage,Stapler,169.97,6,0.2,249.23
ORD-1113,2022-01-05 17:00:00,2022-01-06 17:00:00,,Central,Technology,Storage,Monitor,824.75,7,,331.24
ORD-1114,2022-01-05 18:00:00,2022-01-06 18:00:00,Bob,South,Office Supplies,Tables,Desk,590.72,9,,374.03
ORD-1115,2022-01-05 19:00:00,2022-01-06 19:00:00,,South,Office Supplies,Phones,Paper,616.91,2,0.2,446.09
ORD-1116,2022-01-05 20:00:00,2022-01-06 20:00:00,Alice,Central,Office Supplies,Phones,Stapler,822.36,2,0.3,101.66
ORD-1117,2022-01-05 21:00:00,2022-01-06 21:00:00,David,East,Furniture,Phones,Desk,349.49,1,0.0,489.29
ORD-1118,2022-01-05 22:00:00,2022-01-06 22:00:00,Alice,South,Technology,Tables,Printer,201.7,5,0.0,-49.04
ORD-1119,2022-01-05 23:00:00,2022-01-06 23:00:00,,South,Furniture,Storage,Monitor,206.42,2,,300.06
ORD-1120,2022-01-06 00:00:00,2022-01-07 00:00:00,Bob,West,Furniture,Chairs,Monitor,735.29,3,0.2,173.81
ORD-1121,2022-01-06 01:00:00,2022-01-07 01:00:00,Alice,South,Furniture,Phones,Paper,617.97,2,0.2,371.83
ORD-1122,2022-01-06 02:00:00,2022-01-07 02:00:00,Frank,Central,Technology,,Stapler,214.28,4,0.1,133.74
ORD-1123,2022-01-06 03:00:00,2022-01-07 03:00:00,Eva,West,Furniture,Tables,Printer,153.61,3,,348.76
ORD-1124,2022-01-06 04:00:00,2022-01-07 04:00:00,Charlie,East,Furniture,Binders,Pen,129.48,9,0.2,451.12
ORD-1125,2022-01-06 05:00:00,2022-01-07 05:00:00,David,West,Furniture,Chairs,Paper,631.52,2,0.1,312.61
ORD-1126,2022-01-06 06:00:00,2022-01-07 06:00:00,Frank,Central,Furniture,Accessories,Pen,10.12,7,0.0,343.27
ORD-1127,2022-01-06 07:00:00,2022-01-07 07:00:00,,Central,Office Supplies,Phones,Paper,28.14,3,,-152.98
ORD-1128,2022-01-06 08:00:00,2022-01-07 08:00:00,Charlie,West,Furniture,Binders,Stapler,395.66,8,,-56.53
ORD-1129,2022-01-06 09:00:00,2022-01-07 09:00:00,Alice,East,Office Supplies,Chairs,Printer,694.44,4,0.2,482.01
ORD-1130,2022-01-06 10:00:00,2022-01-07 10:00:00,Charlie,West,Furniture,Tables,Stapler,698.09,4,0.2,285.23
ORD-1131,2022-01-06 11:00:00,2022-01-07 11:00:00,Eva,East,Technology,Binders,Monitor,435.82,9,0.3,193.01
ORD-1132,2022-01-06 12:00:00,2022-01-07 12:00:00,Frank,West,Office Supplies,Storage,Pen,694.16,3,0.0,56.88
ORD-1133,2022-01-06 13:00:00,2022-01-07 13:00:00,Charlie,Central,Office Supplies,Binders,Desk,525.89,7,0.0,-168.93
ORD-1134,2022-01-06 14:00:00,2022-01-07 14:00:00,Alice,South,Office Supplies,Accessories,Monitor,977.16,1,0.1,58.4
ORD-1135,2022-01-06 15:00:00,2022-01-07 15:00:00,Eva,South,Office Supplies,Chairs,Monitor,170.84,7,0.1,149.24
ORD-1136,2022-01-06 16:00:00,2022-01-07 16:00:00,Bob,East,Technology,Accessories,Pen,604.66,2,0.3,-51.98
ORD-1137,2022-01-06 17:00:00,2022-01-07 17:00:00,Frank,East,Furniture,Accessories,Paper,,6,0.0,-78.8
ORD-1138,2022-01-06 18:00:00,2022-01-07 18:00:00,Charlie,East,Office Supplies,Phones,Monitor,202.52,9,0.1,155.89
ORD-1139,2022-01-06 19:00:00,2022-01-07 19:00:00,Alice,Central,Technology,Tables,Printer,752.49,6,0.0,210.13
ORD-1140,2022-01-06 20:00:00,2022-01-07 20:00:00,Bob,West,Office Supplies,,Monitor,282.75,3,0.0,-32.06
ORD-1141,2022-01-06 21:00:00,2022-01-07 21:00:00,Bob,Central,Furniture,Chairs,Printer,,1,0.1,211.17
ORD-1142,2022-01-06 22:00:00,2022-01-07 22:00:00,,South,Office Supplies,Storage,Stapler,381.08,4,0.2,430.24
ORD-1143,2022-01-06 23:00:00,2022-01-07 23:00:00,Eva,East,Technology,Tables,Paper,251.76,4,0.2,131.22
ORD-1144,2022-01-07 00:00:00,2022-01-08 00:00:00,Charlie,West,Furniture,Tables,Printer,,8,0.1,400.17
ORD-1145,2022-01-07 01:00:00,2022-01-08 01:00:00,Alice,South,Technology,Chairs,Monitor,478.61,7,0.3,449.09
ORD-1146,2022-01-07 02:00:00,2022-01-08 02:00:00,David,South,Furniture,Tables,Paper,746.78,7,,-135.32
ORD-1147,2022-01-07 03:00:00,2022-01-08 03:00:00,Eva,South,Furniture,,Paper,767.42,7,0.0,-132.93
ORD-1148,2022-01-07 04:00:00,2022-01-08 04:00:00,David,Central,Furniture,Tables,Printer,166.97,2,,133.23
ORD-1149,2022-01-07 05:00:00,2022-01-08 05:00:00,Frank,East,Office Supplies,Phones,Printer,,9,0.1,
ORD-1150,2022-01-07 06:00:00,2022-01-08 06:00:00,,South,Technology,Binders,Desk,897.24,6,0.0,98.12
ORD-1151,2022-01-07 07:00:00,2022-01-08 07:00:00,Eva,East,Technology,Binders,Desk,117.7,2,,28.52
ORD-1152,2022-01-07 08:00:00,2022-01-08 08:00:00,Charlie,Central,Technology,Accessories,Paper,478.18,1,0.2,248.7
ORD-1153,2022-01-07 09:00:00,2022-01-08 09:00:00,Eva,South,Furniture,Phones,Pen,752.85,1,0.3,-198.54
ORD-1154,2022-01-07 10:00:00,2022-01-08 10:00:00,David,Central,Office Supplies,Storage,Pen,615.38,1,,477.65
ORD-1155,2022-01-07 11:00:00,2022-01-08 11:00:00,Eva,Central,Furniture,Binders,Desk,109.58,4,0.3,-37.54
ORD-1156,2022-01-07 12:00:00,2022-01-08 12:00:00,Charlie,,Technology,Tables,Monitor,402.64,4,0.2,441.97
ORD-1157,2022-01-07 13:00:00,2022-01-08 13:00:00,Charlie,South,Office Supplies,Chairs,Stapler,512.17,9,,-123.69
ORD-1158,2022-01-07 14:00:00,2022-01-08 14:00:00,Frank,Central,Office Supplies,Chairs,Paper,995.89,1,0.1,-33.34
ORD-1159,2022-01-07 15:00:00,2022-01-08 15:00:00,David,,Office Supplies,Phones,Stapler,186.82,3,0.0,-35.59
ORD-1160,2022-01-07 16:00:00,2022-01-08 16:00:00,Bob,East,Technology,Storage,Desk,982.6,3,0.2,497.31
ORD-1161,2022-01-07 17:00:00,2022-01-08 17:00:00,Bob,Central,Office Supplies,Accessories,Printer,382.39,8,0.3,-196.78
ORD-1162,2022-01-07 18:00:00,2022-01-08 18:00:00,Eva,East,Office Supplies,,Paper,208.32,2,0.3,247.75
ORD-1163,2022-01-07 19:00:00,2022-01-08 19:00:00,Frank,South,Furniture,Phones,Desk,419.97,6,0.2,408.78
ORD-1164,2022-01-07 20:00:00,2022-01-08 20:00:00,Alice,South,Furniture,Chairs,Monitor,617.86,4,0.1,270.59
ORD-1165,2022-01-07 21:00:00,2022-01-08 21:00:00,Eva,East,Office Supplies,Phones,Paper,221.36,6,0.1,53.91
ORD-1166,2022-01-07 22:00:00,2022-01-08 22:00:00,Frank,West,Office Supplies,Tables,Paper,298.52,5,0.3,470.82
ORD-1167,2022-01-07 23:00:00,2022-01-08 23:00:00,David,Central,Furniture,Storage,Pen,856.0,9,0.2,425.46
ORD-1168,2022-01-08 00:00:00,2022-01-09 00:00:00,David,South,Furniture,Storage,Printer,999.02,9,0.2,103.77
ORD-1169,2022-01-08 01:00:00,2022-01-09 01:00:00,,South,Furniture,,Paper,324.99,1,0.0,201.33
ORD-1170,2022-01-08 02:00:00,2022-01-09 02:00:00,David,Central,Technology,Tables,Printer,157.37,3,0.3,477.26
ORD-1171,2022-01-08 03:00:00,2022-01-09 03:00:00,David,East,Technology,Binders,Desk,795.24,1,0.1,487.79
ORD-1172,2022-01-08 04:00:00,2022-01-09 04:00:00,Frank,East,Furniture,Binders,Monitor,604.45,6,,114.88
ORD-1173,2022-01-08 05:00:00,2022-01-09 05:00:00,Frank,East,Office Supplies,Binders,Monitor,109.4,3,0.1,393.15
ORD-1174,2022-01-08 06:00:00,2022-01-09 06:00:00,Charlie,West,Furniture,Phones,Paper,947.3,1,0.1,11.39
ORD-1175,2022-01-08 07:00:00,2022-01-09 07:00:00,Bob,West,Technology,Chairs,Paper,87.27,6,,60.27
ORD-1176,2022-01-08 08:00:00,2022-01-09 08:00:00,David,South,Office Supplies,Storage,Desk,629.1,5,0.3,-84.62
ORD-1177,2022-01-08 09:00:00,2022-01-09 09:00:00,Alice,East,Technology,Phones,Pen,429.7,8,0.0,-53.57
ORD-1178,2022-01-08 10:00:00,2022-01-09 10:00:00,Frank,Central,Office Supplies,Chairs,Pen,561.06,2,0.1,259.81
ORD-1179,2022-01-08 11:00:00,2022-01-09 11:00:00,Alice,South,Technology,Storage,Pen,221.08,8,0.1,
ORD-1180,2022-01-08 12:00:00,2022-01-09 12:00:00,Alice,Central,Office Supplies,Tables,Printer,691.23,5,0.3,-38.21
ORD-1181,2022-01-08 13:00:00,2022-01-09 13:00:00,Alice,South,Office Supplies,Storage,Pen,960.12,8,0.3,82.04
ORD-1182,2022-01-08 14:00:00,2022-01-09 14:00:00,Charlie,West,Office Supplies,Storage,Monitor,463.84,4,0.2,61.23
ORD-1183,2022-01-08 15:00:00,2022-01-09 15:00:00,Frank,South,Office Supplies,Storage,Printer,527.73,4,0.3,491.15
ORD-1184,2022-01-08 16:00:00,2022-01-09 16:00:00,Alice,West,Technology,Accessories,Desk,247.41,4,0.3,397.5
ORD-1185,2022-01-08 17:00:00,2022-01-09 17:00:00,David,South,Technology,Tables,Monitor,892.95,6,0.1,71.58
ORD-1186,2022-01-08 18:00:00,2022-01-09 18:00:00,Eva,East,Office Supplies,Phones,Monitor,971.46,4,0.0,439.74
ORD-1187,2022-01-08 19:00:00,2022-01-09 19:00:00,Alice,Central,Office Supplies,Phones,Stapler,788.43,9,0.1,39.84
ORD-1188,2022-01-08 20:00:00,2022-01-09 20:00:00,Charlie,East,Technology,Chairs,Desk,547.35,9,0.3,267.53
ORD-1189,2022-01-08 21:00:00,2022-01-09 21:00:00,Frank,South,Office Supplies,,Desk,957.23,3,0.2,476.65
ORD-1190,2022-01-08 22:00:00,2022-01-09 22:00:00,,South,Office Supplies,Binders,Stapler,162.31,7,0.0,
ORD-1191,2022-01-08 23:00:00,2022-01-09 23:00:00,Alice,South,Office Supplies,Storage,Printer,483.71,5,0.2,275.92
ORD-1192,2022-01-09 00:00:00,2022-01-10 00:00:00,Frank,West,Furniture,Phones,Pen,542.23,9,,7.15
ORD-1193,2022-01-09 01:00:00,2022-01-10 01:00:00,Eva,Central,Office Supplies,Chairs,Pen,497.0,2,0.2,-13.58
ORD-1194,2022-01-09 02:00:00,2022-01-10 02:00:00,,Central,Furniture,Chairs,Pen,804.39,3,0.2,201.91
ORD-1195,2022-01-09 03:00:00,2022-01-10 03:00:00,Charlie,South,Office Supplies,Binders,Pen,673.7,5,0.3,485.49
ORD-1196,2022-01-09 04:00:00,2022-01-10 04:00:00,Bob,South,Technology,Chairs,Pen,135.39,5,0.3,117.19
ORD-1197,2022-01-09 05:00:00,2022-01-10 05:00:00,,West,Furniture,Accessories,Stapler,,7,0.3,456.35
ORD-1198,2022-01-09 06:00:00,2022-01-10 06:00:00,Charlie,East,Furniture,Storage,Desk,345.69,8,0.3,440.05
ORD-1199,2022-01-09 07:00:00,2022-01-10 07:00:00,Frank,East,Office Supplies,,Printer,569.98,8,0.3,-22.37
ORD-1200,2022-01-09 08:00:00,2022-01-10 08:00:00,Alice,Central,Office Supplies,Storage,Monitor,298.54,1,0.2,81.27
ORD-1201,2022-01-09 09:00:00,2022-01-10 09:00:00,David,West,Furniture,Tables,Pen,126.1,1,,250.31
ORD-1202,2022-01-09 10:00:00,2022-01-10 10:00:00,Alice,South,Technology,Phones,Stapler,657.15,3,0.3,162.63
ORD-1203,2022-01-09 11:00:00,2022-01-10 11:00:00,Frank,Central,Technology,Accessories,Printer,852.53,1,,-132.83
ORD-1204,2022-01-09 12:00:00,2022-01-10 12:00:00,Alice,West,Office Supplies,Phones,Printer,932.29,1,,495.59
ORD-1205,2022-01-09 13:00:00,2022-01-10 13:00:00,Bob,East,Technology,Accessories,Printer,972.85,8,0.1,326.86
ORD-1206,2022-01-09 14:00:00,2022-01-10 14:00:00,David,West,Technology,Phones,Stapler,783.31,1,0.1,106.39
ORD-1207,2022-01-09 15:00:00,2022-01-10 15:00:00,David,East,Office Supplies,Binders,Monitor,148.31,9,0.0,232.72
ORD-1208,2022-01-09 16:00:00,2022-01-10 16:00:00,Frank,West,Technology,Chairs,Pen,854.58,2,0.1,-138.7
ORD-1209,2022-01-09 17:00:00,2022-01-10 17:00:00,Bob,Central,Office Supplies,Chairs,Printer,405.96,9,0.3,146.71
